node,pagerank
Everyking,0.0037635133612824953
Legoktm,0.0036554175795647553
SarahStierch,0.003603944745153128
HJ Mitchell,0.00334348131753979
Mkdw,0.003284983653408796
TenPoundHammer,0.0031603527780244525
Ironholds,0.0027471853212980343
Tokyogirl79,0.002732706116120734
Drmies,0.0027080653069233803
Werdna,0.0026212648473181947
Tom Morris,0.002540161492047123
MZMcBride,0.0024934371641230474
Berean Hunter,0.0023685236030116627
Mark Arsten,0.0023641485920175933
Lord Roem,0.00235256021634293
Steven Zhang,0.0023370012814273155
Cobi,0.0023253273988191182
Elonka,0.002245916913443726
Nev1,0.002232692004568146
"Can't sleep, clown will eat me",0.002155515663158217
Dabomb87,0.002145182866103913
Dennis Brown,0.002113298846039197
Enigmaman,0.002081812439998721
SarekOfVulcan,0.002062193043758285
West.andrew.g,0.0020381341657281795
Mr. Stradivarius,0.00203724177407923
Writ Keeper,0.0020336017098491503
Kww,0.0019437812975766982
Bilby,0.0018697923906874933
PeterSymonds,0.0018593293648842676
Ocaasi,0.0018178748583738413
ProtectionBot,0.0017927239850591338
Jason Quinn,0.0017141232344163484
Epbr123,0.0016933460394422904
BDD,0.0016493221343474532
Phaedriel,0.001646628970694541
The Blade of the Northern Lights,0.0016352218608071966
Richwales,0.0016221131695293915
Jenks24,0.001599219441921056
Ceranthor,0.0015853853888813272
Jbmurray,0.0015812508172109037
Bbb23,0.0015811379976982526
Σ,0.0015644359464930054
Fluffernutter,0.0015615102099310288
Ling.Nut,0.0015614254405360033
Soap,0.0015610799590208544
ItsZippy,0.0015536866429558722
Zagalejo,0.00155207790917281
VanTucky,0.0015427307104483202
Jerem43,0.0015402165597582737
Elen of the Roads,0.0015257334772936985
Sean Black,0.0015217048465817084
Anomie,0.0015174846101796784
Theleftorium,0.0014892110794440625
Piotrus,0.0014793942708383218
KTC,0.0014783570296707114
Ryulong,0.0014740021919128511
Tanner-Christopher,0.001465938463810673
Crzrussian,0.0014578478770767278
Yunshui,0.001455229278413078
Crisco 1492,0.0014389053030558208
Connormah,0.0014373746829076848
VernoWhitney,0.001435159858224644
Secret,0.0014291645449596147
Robchurch,0.0014115705864655506
Ymblanter,0.0014060742709637874
Herostratus,0.001397416243211466
Cirt,0.0013955067705358033
DeltaQuad,0.0013901678315694904
Gracenotes,0.001361114183972653
SpacemanSpiff,0.0013609259917207915
RedirectCleanupBot,0.0013599290387573076
Harrias,0.0013509426914230034
The ed17,0.001340613245712028
Alex Bakharev,0.0013301641578117823
Tide rolls,0.0013254433948771836
FlyingToaster,0.0013136849332464826
Thumperward,0.0013119169834059832
Dirtlawyer1,0.0013007169473271396
28bytes,0.0012982697546300218
Newyorkbrad,0.0012878574494904064
Fæ,0.0012787813344260345
Majorly,0.0012651331848964164
Boing! said Zebedee,0.0012500901775187466
Shirt58,0.0012454580853779739
Miniapolis,0.0012388063073127211
Sgeureka,0.0012341886324623726
Juliancolton,0.0012291933535863657
Carnildo,0.0012204493967395563
The Thing That Should Not Be,0.0012159936607615955
Tinucherian,0.0011966829351344242
Ryan Vesey,0.001191474548897521
Laser brain,0.001191093794948381
Pastor Theo,0.001183680426289104
PumpkinSky,0.0011765946402258133
Orlady,0.0011629299044743852
