node,pagerank_support,pagerank_oppose,pagerank_neutral,signed_positive,signed_negative,signed_attention,signed_net,signed_balance,support_rank,signed_net_rank,rank_shift_signed_minus_support,rank_shift_abs,net_support_minus_oppose_z,controversy_z,support_z,oppose_z,neutral_z,signed_attention_rank
!---slappdash---!,2.139444624519238e-05,4.896492745948385e-05,6.436935888163675e-05,2.1273530435603147e-05,0.0,2.1273530435603147e-05,2.1273530435603147e-05,1.0,3013,2332,-681,681,-0.0393741637020103,-0.5794473671129463,-0.3094107654074783,-0.270036601705468,-0.2645965381223965,3490
%D0%90,2.139444624519238e-05,4.896492745948385e-05,6.436935888163675e-05,2.1273530435603147e-05,0.0,2.1273530435603147e-05,2.1273530435603147e-05,1.0,3013,2332,-681,681,-0.0393741637020103,-0.5794473671129463,-0.3094107654074783,-0.270036601705468,-0.2645965381223965,3490
'sed,2.139444624519238e-05,4.896492745948385e-05,6.436935888163675e-05,2.1273530435603147e-05,0.0,2.1273530435603147e-05,2.1273530435603147e-05,1.0,3013,2332,-681,681,-0.0393741637020103,-0.5794473671129463,-0.3094107654074783,-0.270036601705468,-0.2645965381223965,3490
(.Y.),2.139444624519238e-05,4.896492745948385e-05,6.436935888163675e-05,2.1273530435603147e-05,0.0,2.1273530435603147e-05,2.1273530435603147e-05,1.0,3013,2332,-681,681,-0.0393741637020103,-0.5794473671129463,-0.3094107654074783,-0.270036601705468,-0.2645965381223965,3490
(:Julien:),2.139444624519238e-05,4.896492745948385e-05,6.436935888163675e-05,2.1273530435603147e-05,0.0,2.1273530435603147e-05,2.1273530435603147e-05,1.0,3013,2332,-681,681,-0.0393741637020103,-0.5794473671129463,-0.3094107654074783,-0.270036601705468,-0.2645965381223965,3490
(aeropagitica),0.00013837575873370286,0.00016490715699705031,0.00014187980925466363,0.00010465100203151333,4.411923307090599e-05,0.0001487702351024193,6.053176896060734e-05,0.4068809121591754,1620,1557,-63,63,-0.29929621052823907,0.7690186478892582,0.23486121868050958,0.5341574292087486,0.6071150017107102,1642
*Kat*,2.139444624519238e-05,4.896492745948385e-05,6.436935888163675e-05,2.1273530435603147e-05,0.0,2.1273530435603147e-05,2.1273530435603147e-05,1.0,3013,2332,-681,681,-0.0393741637020103,-0.5794473671129463,-0.3094107654074783,-0.270036601705468,-0.2645965381223965,3490
*Spark*,2.139444624519238e-05,4.896492745948385e-05,6.436935888163675e-05,2.1273530435603147e-05,0.0,2.1273530435603147e-05,2.1273530435603147e-05,1.0,3013,2332,-681,681,-0.0393741637020103,-0.5794473671129463,-0.3094107654074783,-0.270036601705468,-0.2645965381223965,3490
*drew,2.139444624519238e-05,4.896492745948385e-05,6.436935888163675e-05,2.1273530435603147e-05,0.0,2.1273530435603147e-05,2.1273530435603147e-05,1.0,3013,2332,-681,681,-0.0393741637020103,-0.5794473671129463,-0.3094107654074783,-0.270036601705468,-0.2645965381223965,3490
-Midorihana-,2.139444624519238e-05,4.896492745948385e-05,6.436935888163675e-05,2.1273530435603147e-05,0.0,2.1273530435603147e-05,2.1273530435603147e-05,1.0,3013,2332,-681,681,-0.0393741637020103,-0.5794473671129463,-0.3094107654074783,-0.270036601705468,-0.2645965381223965,3490
-Ril-,2.139444624519238e-05,4.896492745948385e-05,6.436935888163675e-05,2.1273530435603147e-05,0.0,2.1273530435603147e-05,2.1273530435603147e-05,1.0,3013,2332,-681,681,-0.0393741637020103,-0.5794473671129463,-0.3094107654074783,-0.270036601705468,-0.2645965381223965,3490
-Slash-,2.139444624519238e-05,4.896492745948385e-05,6.436935888163675e-05,2.1273530435603147e-05,0.0,2.1273530435603147e-05,2.1273530435603147e-05,1.0,3013,2332,-681,681,-0.0393741637020103,-0.5794473671129463,-0.3094107654074783,-0.270036601705468,-0.2645965381223965,3490
-The Bold Guy-,2.139444624519238e-05,4.896492745948385e-05,6.436935888163675e-05,2.1273530435603147e-05,0.0,2.1273530435603147e-05,2.1273530435603147e-05,1.0,3013,2332,-681,681,-0.0393741637020103,-0.5794473671129463,-0.3094107654074783,-0.270036601705468,-0.2645965381223965,3490
