method,score_x,score_y,correlation
pearson,pagerank_support,pagerank_oppose,0.50052134659687
pearson,pagerank_support,pagerank_neutral,0.4853111337987322
pearson,pagerank_support,signed_positive,0.9820754035794946
pearson,pagerank_support,signed_negative,0.8716221999149316
pearson,pagerank_support,signed_net,0.9212023374691122
pearson,pagerank_support,signed_attention,0.9569758938032421
pearson,pagerank_support,signed_balance,-0.41991760340545264
pearson,pagerank_support,net_support_minus_oppose_z,0.49973925871554764
pearson,pagerank_support,controversy_z,0.8661758905086431
pearson,pagerank_oppose,pagerank_neutral,0.6757490841189199
pearson,pagerank_oppose,signed_positive,0.591507421434168
pearson,pagerank_oppose,signed_negative,0.77731268984628
pearson,pagerank_oppose,signed_net,0.24695398207031075
pearson,pagerank_oppose,signed_attention,0.6730488925726961
pearson,pagerank_oppose,signed_balance,-0.5678287839608684
pearson,pagerank_oppose,net_support_minus_oppose_z,-0.4997392587155465
pearson,pagerank_oppose,controversy_z,0.8661758905086414
pearson,pagerank_neutral,signed_positive,0.5472043725339949
pearson,pagerank_neutral,signed_negative,0.6525074223210506
pearson,pagerank_neutral,signed_net,0.30970383217941705
pearson,pagerank_neutral,signed_attention,0.597131974900932
pearson,pagerank_neutral,signed_balance,-0.4836039465190263
pearson,pagerank_neutral,net_support_minus_oppose_z,-0.19053731220723302
pearson,pagerank_neutral,controversy_z,0.6702219668316126
pearson,signed_positive,signed_negative,0.9272595901462231
pearson,signed_positive,signed_net,0.889539753704114
pearson,signed_positive,signed_attention,0.9896610112403702
pearson,signed_positive,signed_balance,-0.46782197843028783
pearson,signed_positive,net_support_minus_oppose_z,0.39077176280804515
pearson,signed_positive,controversy_z,0.9083506261583972
pearson,signed_negative,signed_net,0.653777996572387
pearson,signed_negative,signed_attention,0.9713741809002128
pearson,signed_negative,signed_balance,-0.5448070996788774
pearson,signed_negative,net_support_minus_oppose_z,0.09435871649452499
pearson,signed_negative,controversy_z,0.9518476026808542
pearson,signed_net,signed_attention,0.8148174248641363
pearson,signed_net,signed_balance,-0.280688619402806
pearson,signed_net,net_support_minus_oppose_z,0.6746001476167589
pearson,signed_net,controversy_z,0.6743181912241002
pearson,signed_attention,signed_balance,-0.5055108283509264
pearson,signed_attention,net_support_minus_oppose_z,0.28407514146507323
pearson,signed_attention,controversy_z,0.9409317462177066
pearson,signed_balance,net_support_minus_oppose_z,0.14798835390238113
pearson,signed_balance,controversy_z,-0.570176564708059
pearson,net_support_minus_oppose_z,controversy_z,2.9742308529297086e-16
spearman,pagerank_support,pagerank_oppose,0.7298409267791183
spearman,pagerank_support,pagerank_neutral,0.747508278900247
spearman,pagerank_support,signed_positive,0.9450742376688269
spearman,pagerank_support,signed_negative,0.9178807757873371
spearman,pagerank_support,signed_net,0.6064907557840075
spearman,pagerank_support,signed_attention,0.9382207161213496
spearman,pagerank_support,signed_balance,-0.8564110707874281
spearman,pagerank_support,net_support_minus_oppose_z,0.29175720356092255
spearman,pagerank_support,controversy_z,0.9223781719046331
spearman,pagerank_oppose,pagerank_neutral,0.7958736223933116
spearman,pagerank_oppose,signed_positive,0.8378556576344585
spearman,pagerank_oppose,signed_negative,0.8790159581664786
spearman,pagerank_oppose,signed_net,0.10887584090489479
spearman,pagerank_oppose,signed_attention,0.8529808869742617
spearman,pagerank_oppose,signed_balance,-0.9083211827539706
spearman,pagerank_oppose,net_support_minus_oppose_z,-0.24874353963876783
spearman,pagerank_oppose,controversy_z,0.8804323510911598
spearman,pagerank_neutral,signed_positive,0.7626330253746618
spearman,pagerank_neutral,signed_negative,0.7843256441836717
spearman,pagerank_neutral,signed_net,0.2722148493694086
spearman,pagerank_neutral,signed_attention,0.7704179266816179
spearman,pagerank_neutral,signed_balance,-0.7745959537444543
spearman,pagerank_neutral,net_support_minus_oppose_z,-0.07803275402546754
spearman,pagerank_neutral,controversy_z,0.783355158413791
spearman,signed_positive,signed_negative,0.9879598819606582
spearman,signed_positive,signed_net,0.46282649956286825
spearman,signed_positive,signed_attention,0.9977713402256837
spearman,signed_positive,signed_balance,-0.9550851221038471
spearman,signed_positive,net_support_minus_oppose_z,0.1550769758982527
spearman,signed_positive,controversy_z,0.990979693362954
spearman,signed_negative,signed_net,0.37507664305276744
spearman,signed_negative,signed_attention,0.9934882860361531
spearman,signed_negative,signed_balance,-0.9816098297909287
spearman,signed_negative,net_support_minus_oppose_z,0.0626708224631782
spearman,signed_negative,controversy_z,0.9939446422772323
spearman,signed_net,signed_attention,0.433773841187527
spearman,signed_net,signed_balance,-0.2252595039813933
spearman,signed_net,net_support_minus_oppose_z,0.7294439014111754
spearman,signed_net,controversy_z,0.3817214775878139
spearman,signed_attention,signed_balance,-0.9647805211964654
spearman,signed_attention,net_support_minus_oppose_z,0.1253302384860167
spearman,signed_attention,controversy_z,0.995588445842546
spearman,signed_balance,net_support_minus_oppose_z,0.07941065480440121
spearman,signed_balance,controversy_z,-0.9751631360556714
spearman,net_support_minus_oppose_z,controversy_z,0.05951796803094014
