node,pagerank
Everyking,0.0037635133612824953
Legoktm,0.0036554175795647553
SarahStierch,0.003603944745153128
HJ Mitchell,0.00334348131753979
Mkdw,0.003284983653408796
TenPoundHammer,0.0031603527780244525
Ironholds,0.0027471853212980343
Tokyogirl79,0.002732706116120734
Drmies,0.0027080653069233803
Werdna,0.0026212648473181947
Tom Morris,0.002540161492047123
MZMcBride,0.0024934371641230474
Berean Hunter,0.0023685236030116627
Mark Arsten,0.0023641485920175933
Lord Roem,0.00235256021634293
Steven Zhang,0.0023370012814273155
Cobi,0.0023253273988191182
Elonka,0.002245916913443726
Nev1,0.002232692004568146
"Can't sleep, clown will eat me",0.002155515663158217
Dabomb87,0.002145182866103913
Dennis Brown,0.002113298846039197
Enigmaman,0.002081812439998721
SarekOfVulcan,0.002062193043758285
West.andrew.g,0.0020381341657281795
